Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;shocka;#AU0T6;384;-306;590;;5cfd74ad988f3ff2ebc65e08;1801563;2019-07-01 01:20;NL Hold'em;2;
2;Jakep;#7PMKY;312;-930;1400;;;;;;;
3;Eddie;#M28TN;248;-40;600;;;;;;;
4;Minjae;#WPEHN;273;493;1000;;;;;;;
5;Bullish;#27W7H;168;8;300;;;;;;;
6;ming l33;#FV0CJ;328;-642;642;;;;;;;
7;Brandon Zheng;#SXRVS;233;-324;900;;;;;;;
8;Jae;#N24XP;255;570;400;;;;;;;
9;FUCK IM DOWN SO MUCH;#1S8W8;153;560;300;;;;;;;
10;MADMAN;#NXAZ3;123;639;350;;;;;;;
11;DukeKeith;#8NNB0;138;-478;1000;;;;;;;
12;nkli;#VSVHC;111;450;400;;;;;;;
